"Authors","Title","Year","Source title","DOI","Abstract","Author Keywords"
"Huang K.Y.; Liu S.; Zhou Z.Q.","Bibliometrics Analysis of Research Literatures on Smart Library in Academic Journals of China","2018","2018 3RD INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS ENGINEERING (ICISE)","10.1109/ICISE.2018.00020","In this paper, we used the knowledge of bibliometrics to make a summary and analysis to the time distribution, journal distribution, author distribution, cooperation situation, key word frequency distribution, subject distribution and organization distribution of research literatures on smart library in China CNKI database from 2010 to October 2017, which revealed the overall research situation in the field of smart library in recent years, and came to some conclusions.","bibliometrics; smart library; summary; analysis"
"[Anonymous]","Authorship order and effects of changing bibliometrics practices","2020","RESEARCH ETHICS","10.1177/1747016119898403","Although the authorship order on published research plays a significant role for scientific merit in many research contexts, and therefore should be handled with great care not least for the sake of fairness, the practices of accrediting authorship positions vary greatly between different research areas. This paper makes the point, by help of a current example, that changes in bibliometrics practices may make an already disparate landscape even more confusing.","Authorship order; bibliometrics; practice; research ethics"
"Fang J.; Huang J.; Wei F.P.; Zhang R.; He Y.H.","Library Using Bibliometrics to Drive the Development of Subjects","2017","INTERNATIONAL CONFERENCE ON ADVANCED EDUCATION AND MANAGEMENT SCIENCE (AEMS 2017)","N/A","It is becoming a new trend for the library to provide the decision-making basis for the development of the university discipline by using bibliometrics, this paper clarifies the significance and importance of promoting bibliometric services by the bibliometrics best practice of the Huazhong University of Science & Technology Library in the subject situation analysis of the ESI, the ESI contribution analysis report of the department and the academic influence analysis of the department (laboratory), etc. And it is pointed that it is a way to improve the bibliometric services by strengthening construction of the library collection resources, cultivating the librarian cooperation consciousness and enhances the librarian's service ability.","Bibliometrics; Discipline development; Academic analysis"
"Mering M.","Bibliometrics: Understanding Author-, Article- and Journal-Level Metrics","2017","SERIALS REVIEW","10.1080/00987913.2017.1282288","Numerous types of metrics are available to assist in the evaluation of scholarship. The focus for this column of In Lay Terms is bibliometrics, the quantitative analysis of publication data using article-, author-, and journal-level data. Citation analysis is the most commonly used bibliometric method. It includes analyzing the number of articles published by an author, the number of citations from those articles, and the ranking of the journals in which those articles were published. This column compares bibliometrics found in Web of Science, Scopus, and Google Scholar and considers the relationship of these metrics to the field of library and information science.","Bibliometrics; Google Scholar; metrics; Scopus; Web of Science"
"Sun H.","New Type of Library Service Items-Research on Service based on Bibliometrics","2015","PROCEEDINGS OF THE 2015 INTERNATIONAL CONFERENCE ON EDUCATION TECHNOLOGY, MANAGEMENT AND HUMANITIES SCIENCE (ETMHS 2015)","N/A","This thesis puts forward a concept that is defined as bibliometrics service. It's a sort of information service which carries out precise statistical analysis to various literature metrology characteristics by combining computer technology and mathematical analysis tool to conclude rules of literature information, method of literature management and science development tendency; It's a sort of academic professional service that provides distribution comprehensively maps for readers and society; It's a brand-new sort of basic library service item. Meanwhile, after discussing the connotation, the basis of expansion and the content of services, the thesis considers that libraries have basically processed kinds of qualification to carry oust bibliometrics service and try to furnish this kind of service.","bibliometrics; library service"
"Liu T.","Bibliometrics Analysis of Information Science in 2010","2011","2011 INTERNATIONAL CONFERENCE ON COMPUTER APPLICATION AND EDUCATION TECHNOLOGY (ICCAET 2011)","N/A","Applying bibliometrics to count, chosing the 405 acedemic papers published by Information Science (1-12) in 2010 as the research target, makes a statistic analysis of its theses, authors and citation, makes a statistical comparison of the data in ""Information Science ""in recent years, and then draws the characteristics and the development law in order to provide the reference data for its future development.","information science; theses analysis; author analysis; citation analysis; bibliometrics"
"Smith D.R.","Bibliometrics, dermatology and contact dermatitis","2008","CONTACT DERMATITIS","10.1111/j.1600-0536.2008.01405.x","Although the fields of bibliometrics and citation analysis have existed for many years, relatively few studies have specifically focused on the dermatological literature. This article reviews citation-based research in the dermatology journals, with a particular interest in manuscripts that have included Contact Dermatitis as part of their analysis. Overall, it can be seen that the rise of bibliometrics during the mid-20th century and its subsequent application to dermatology has provided an interesting insight into the progression of research within our discipline. Further investigation of citation trends and top-cited papers in skin research periodicals would certainly help complement the current body of knowledge.","bibliometrics; citation analysis; contact dermatitis; dermatology; impact factor"
"Bornmann L.; de Moya-Anegón F.","Spatial bibliometrics on the city level","2019","JOURNAL OF INFORMATION SCIENCE","10.1177/0165551518806119","It is very popular in bibliometrics to present results on institutions not only as tabular lists, but also on maps (see, for example, the Leiden Ranking). However, the problem with these visualisations is that institutions are frequently spatially clustered in larger cities whereby institutions are positioned one above the other. In this Brief Communication, we propose as an alternative to visualise bibliometric data on the city rather than the institution level to avoid this problem.","German cities; spatial bibliometrics; top 1% papers"
"Simon H.R.","From bibliometrics to diversity - A personal view","1996","JOURNAL OF INFORMATION SCIENCE","10.1177/016555159602200607","In a short report, the personal view of the author on descriptive bibliometrics and the methods used are given. The paper illustrates with seven graphs the different results and gives some interpretations of the development of systematic zoology as a descriptive science and a basic knowledge base for biodiversity research. Methods of descriptive bibliometry can be used in both fields of research. Professor R.T. Bottle has presented masterpieces in bibliometrics [1, 2, 3] which have stimulated, and will continue to stimulate, research for many years.","N/A"
"Cox A.; Gadd E.; Petersohn S.; Sbaffi L.","Competencies for bibliometrics","2019","JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","10.1177/0961000617728111","Universities are increasingly offering support services for bibliometrics, often based in the library. This paper describes work done to produce a competency model for those supporting bibliometrics. The results of a questionnaire in which current practitioners rated bibliometric tasks as entry level, core or specialist are reported. Entry level competencies identified were explaining bibliometric concepts, doing basic calculations and some professional skills. Activities identified by participants as core are outlined. Reflecting on items that were considered in scope but specialist there was less stress on evaluating scholars, work at a strategic level, working with data outside proprietary bibliometric tools and consultancy-type services as opposed to training for disintermediated use. A competency model is presented as an appendix.","Altmetrics; bibliometrics; citation analysis; job analysis; professional competencies; research evaluation"
"Knowlton S.E.; Paganoni S.; Niehaus W.; Verduzco-Gutierrez M.; Sharma R.; Iaccarino M.A.; Hayano T.; Schneider J.C.; Silver J.K.","Measuring the Impact of Research Using Conventional and Alternative Metrics","2019","AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION","10.1097/PHM.0000000000001066","Bibliometrics use statistical methods to measure the scholarly impact of publications. Bibliometrics are categorized as conventional metrics or alternative metrics. Conventional metrics have often been considered the standard to measure the impact of publication-related scholarship. With the growing popularity of social media and ease of instantaneous distribution of information globally, alternative metrics have become an important complementary measure of scholarly activity. Bibliometrics may provide a standard performance measurement that may be used for tenure and/or promotion among academic institutions. The alternative metric industry has shown considerable growth with increasingly improved algorithms working towards standardization. Together, conventional metrics and alternative metrics may synergistically complement each other to provide an accelerated translation from research to clinical care that may lead to tremendous benefits in patients. All physicians and other healthcare professionals should receive training in bibliometrics and understand the potential impact of professional social media use.","Social Media; Internet; Alternative Metrics; Bibliometrics"
"W.H.I.T.E.. H.D.; M.C.C.A.I.N.. K.W.","BIBLIOMETRICS","1989","ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","N/A","N/A","N/A"
"Nietzsche F.","Bibliometrics Journey","2023","EXERCER-LA REVUE FRANCOPHONE DE MEDECINE GENERALE","N/A","N/A","N/A"
"D.A.V.I.S.. C.H.","BIBLIOMETRICS - FOREWORD","1981","LIBRARY TRENDS","N/A","N/A","N/A"
"Letaba P.T.; Pretorius M.W.; Pretorius L.","The Use of Bibliometrics in the Development of Technology Roadmaps: Planning for Industrial Impact of Emerging Technologies","2014","2014 INTERNATIONAL ICE CONFERENCE ON ENGINEERING, TECHNOLOGY AND INNOVATION (ICE)","N/A","Bibliometric analysis is very useful in evaluating the trends in research capacity. Its recent applications include spotting emerging technology trends and also to support the development of technology roadmaps. The exploratory research in this paper aims to match the market, products as well as research on emerging technologies through the use of bibliometrics. The emerging frameworks on the use of bibliometrics for technology roadmapping are complemented by developing a framework that determines the future industrial impact of emerging technologies. The proposed framework is used to determine the nanotechnology impact on selected manufacturing industries.","technology planning; emerging technologies; bibliometrics; search strategy; technology roadmap"
"Sun H.F.; Wang Y.Y.; Hou W.","Study on Application of Research Methods of Information Science Based Bibliometrics","2014","PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, KNOWLEDGE ENGINEERING AND INFORMATION ENGINEERING (SEKEIE 2014)","N/A","This paper selected relevant data as the basis data from 19 kinds of Core Journa and analyzed the sample papers with the use of Bibliometrics. The author summarized four characteristics of the application of Informatics research methods of China in the past five years and found some problems and deficiencies of the application of Informatics research methods, the author also put forward the corresponding countermeasures and suggestions.","Informatics; Research Methods; Bibliometrics; Cluster Analysis; Co-word Analysis; Word Frequency Analysis"
"N.A.R.I.N.. F.; M.O.L.L.. J.K.","BIBLIOMETRICS","1977","ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","N/A","N/A","N/A"
"Chen X.L.; Xie H.R.; Li Z.X.; Zhang D.; Cheng G.R.Y.; Wang F.L.; Dai H.N.; Li Q.","Leveraging deep learning for automatic literature screening in intelligent bibliometrics","2023","INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS","10.1007/s13042-022-01710-8","Intelligent bibliometrics, by providing sufficient statistical information based on large-scale literature data analytics, is promising for understanding innovative pathways, addressing meaningful insights with the assistance of expert knowledge, and indicating key areas of scientific inquiry. However, the exponential growth of global scientific publication output in most areas of modern science makes it extremely difficult and labor-intensive to analyze literature in large volumes. This study aims to accelerate intelligent bibliometrics-driven literature analysis by leveraging deep learning for automatic literature screening. The comparison of different machine learning algorithms for the automatic classification of literature regarding relevance to a given research topic reveals the outstanding performance of deep learning. This study also compares different features as model input and provides suggestions about training dataset size. By leveraging deep learning's abilities in predictive and big data analytics, this study makes contributions to intelligent bibliometrics by promoting literature screening and is promising to track technological changes and scientific evolutionary pathways.","Automatic literature screening; Deep neural networks; Intelligent bibliometrics; Big data analytics"
"S.C.H.R.A.D.E.R.. A.M.","TEACHING BIBLIOMETRICS","1981","LIBRARY TRENDS","N/A","N/A","N/A"
"Greener S.","Evaluating literature with bibliometrics","2022","INTERACTIVE LEARNING ENVIRONMENTS","10.1080/10494820.2022.2118463","N/A","N/A"
"Rousseau R.","Forgotten founder of bibliometrics","2014","NATURE","10.1038/510218e","N/A","N/A"
"H.I.C.K.S.. D.; C.R.O.U.C.H.. D.","CAN BIBLIOMETRICS MEASURE UP","1990","PHYSICS WORLD","10.1088/2058-7058/3/9/23","N/A","N/A"
"Lancaster F.W.","Dictionary of bibliometrics","1997","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","10.1002/(SICI)1097-4571(199705)48:5<480::AID-ASI18>3.0.CO;2-2","N/A","N/A"
"Ligon J.; Thyer B.A.","Bibliometrics and social work: A two-edged sword can still be a blunt instrument","2005","SOCIAL WORK IN HEALTH CARE","10.1300/J010v41n03_08","In order to improve the productivity and impact of social work scholarship, the profession must look beyond bibliometrics to other issues that Must be considered. These include the lag time between acceptance and publication of articles, the quality of peer review experienced by social work authors, and the overabundance of journals being published in social work.","social work scholarship; social work authors; peer reviewed journals; bibliometrics"
"P.O.T.T.E.R.. W.G.","BIBLIOMETRICS - INTRODUCTION","1981","LIBRARY TRENDS","N/A","N/A","N/A"
"von Ungern-Sternberg S.","Teaching bibliometrics","1998","JOURNAL OF EDUCATION FOR LIBRARY AND INFORMATION SCIENCE","10.2307/40324182","N/A","N/A"
"Schubert A.","Handbook Bibliometrics","2021","SCIENTOMETRICS","10.1007/s11192-021-03975-2","N/A","N/A"
"Cooper I.D.","Bibliometrics basics","2015","JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","10.3163/1536-5050.103.4.013","N/A","N/A"
"Frommholz I.; Mayr P.; Cabanac G.; Verberne S.","Bibliometric-enhanced Information Retrieval: 12th International BIR Workshop (BIR 2022)","2022","ADVANCES IN INFORMATION RETRIEVAL, PT II","10.1007/978-3-030-99739-7_70","The 12th iteration of the Bibliometric-enhanced Information Retrieval (BIR) workshop series is a full-day ECIR 2022 workshop. BIR tackles issues related to, for instance, academic search and recommendation, at the intersection of Information Retrieval, Natural Language Processing, and Bibliometrics. As an interdisciplinary scientific event, BIR brings together researchers and practitioners from the Scientometrics/Bibliometrics community on the one hand and the Information Retrieval community on the other hand. BIR is an ever-growing topic investigated by both academia and the industry.","Academic search; Information retrieval; Digital libraries; Bibliometrics; Scientometrics"
"Wu Y.R.; Li S.Y.","Bibliometrics Analysis for Rough Set Field Research in China","2017","PROCEEDINGS OF THE 2017 2ND INTERNATIONAL CONFERENCE ON MACHINERY, ELECTRONICS AND CONTROL SIMULATION (MECS 2017)","N/A","Based on 6091 papers for rough set field collected by critical journals and CSSCI in China Knowledge Internet (CNKI) from 2000 to 2016, analysis are made by bibliometrics. Citespace Software is applied. Quantity of issuing, key words, issuing authors and issuing authorizations for rough set research field in China are systematically reviewed and summarized in the article. Some characteristics on rough set research field in China are gained to supply reference and information to relative scholars for subsequent researches.","Rough set; bibliometrics; characteristic"
"Yang S.L.; Yuan Q.L.","Are Scientometrics, Informetrics, and Bibliometrics different?","2017","16TH INTERNATIONAL CONFERENCE ON SCIENTOMETRICS & INFORMETRICS (ISSI 2017)","N/A","Bibliometrics, scientometrics, and informetrics (also called the three metrics) differ in subject background but are the same in theories, methods, technologies, and applications. Analyzing their current situation and relationships can help comprehensively understand the three fields. In this study, we collect the data of the three metrics through keyword search in 2007-2016. We also compare and visualize the three metrics in terms of the distribution of publications and cooperation (recognition level), the main research topics (intellectual structure), and the reference situation (knowledge communication). Results show that the three metrics differ in the degrees of utilization and recognition but are similar in the general direction. We recommend the addition of bibliometrics in the title of the International Society for Scientometrics and Informetrics.","Bibliometrics; Scientometrics; Informetrics; Knowledge Domain Visualization; CiteSpace"
"B.R.O.O.K.E.S.. B.C.","DEVELOPMENTS IN BIBLIOMETRICS","1985","JOURNAL OF INFORMATION SCIENCE","10.1177/016555158501000206","N/A","N/A"
"Czolkoss-Hettwer M.","Handbook Bibliometrics","2022","ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","N/A","N/A","N/A"
"Lozano C.S.; Tam J.; Kulkarni A.V.; Lozano A.M.","Bibliometrics Response","2016","JOURNAL OF NEUROSURGERY","N/A","N/A","N/A"
"Heinrich E.; Henderson M.; Redmond P.","Editorial: AJET bibliometrics","2020","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY","10.14742/ajet.6146","N/A","N/A"
"Abramo G.; D'Angelo C.A.","Bibliometrics, the ""Clinical Diagnostics"" of Research Impact Comment on ""'We're Not Providing the Best Care If We Are Not on the Cutting Edge of Research': A Research Impact Evaluation at a Regional Australian Hospital and Health Service""","2023","INTERNATIONAL JOURNAL OF HEALTH POLICY AND MANAGEMENT","10.34172/ijhpm.2023.7703","Following the Townsville Hospital and Health Service (THHS) strategic revision as a ""research-based"" institution, Brown et al have investigated the impact of THHS research, and its key drivers, based on 15 stakeholder interviews and two quantitative indicators. This commentary argues that the quantitative analyses and findings would have benefitted from applying evaluative bibliometrics, hopefully, conducted by experienced bibliometricians. We present the potential of bibliometrics for assessing the scholarly impact of research, as well as a few examples of its application to the case of THHS, for informing research policies and strategies.","Evaluative Bibliometrics; Research Evaluation; Research Impact; Research Management"
"Manthorpe J.","Bibliometrics in social work","2007","BRITISH JOURNAL OF SOCIAL WORK","10.1093/bjsw/bcm078","N/A","N/A"
"Bornmann L.; Marx W.","Critical rationalism and the search for standard (field-normalized) indicators in bibliometrics","2018","JOURNAL OF INFORMETRICS","10.1016/j.joi.2018.05.002","Bibliometrics plays an increasingly important role in research evaluation. However, no gold standard exists for a set of reliable and valid (field-normalized) impact indicators in research evaluation. This opinion paper recommends that bibliometricians develop and analyze these impact indicators against the backdrop of Popper's critical rationalism. The studies critically investigating the indicators should publish the results in such a way that they can be included in meta-analyses. The results of meta-analyses give guidance on which indicators can then be part of a set of indicators used as standard in bibliometrics. The generation and continuous revision of the standard set could be handled by the International Society for Informetrics and Scientometrics (ISSI). (C) 2018 Elsevier Ltd. All rights reserved.","Bibliometrics; Standards; Field-normalized indicators"
"Molinié A.; Bodenhausen G.","Bibliometrics as Weapons of Mass Citation","2010","CHIMIA","10.2533/chimia.2010.78","The allocation of resources for research is increasingly based on so-called 'bibliometrics'. Scientists are now deemed to be successful on the sole condition that their work be abundantly cited. This world-wide trend appears to enjoy support not only by granting agencies (whose task is obviously simplified by extensive recourse to bibliometrics), but also by the scientists themselves (who seem to enjoy their status of celebrities). This trend appears to be fraught with dangers, particularly in the area of social sciences, where bibliometrics are less developed, and where monographs (which are not taken into account in citation indexes) are often more important than articles published in journals. We argue in favour of a return to the values of 'real science', in analogy to the much-promised return to a 'real economy'. While economists may strive towards a more objective evaluation of the prospects of a company, a market, or an industrial sector, we scientists can only base our appraisal on a responsible practice of peer review. Since we fear that decision-takers of granting agencies such as the FNRS, CTI, EPFL, ETHZ, ANR, CNRS, NIH, NSF, DOE,([1]) etc. will be too busy to read our humble paper in Chimia, we appeal to scientists of all countries and disciplines to unite against the tyranny of bibliometrics.","Bibliometrics; Citation indices; Eigenfactors; h-Factors; Fun factors; Impact factors; Science policy; Teaching factors"
"Klimo P.; Michael L.M.; Venable G.T.; Taylor D.R.","Bibliometrics","2016","JOURNAL OF NEUROSURGERY","10.3171/2015.7.JNS151647","N/A","N/A"
"Benjaminsen T.A.; Costalli S.; Grove K.; McConnell F.; Menga F.; Steinberg P.E.; Vradis A.","Beyond bibliometrics","2019","POLITICAL GEOGRAPHY","10.1016/j.polgeo.2018.12.004","N/A","N/A"
"Kostoff R.N.; Morse S.A.","Structure and infrastructure of infectious agent research literature: SARS","2011","SCIENTOMETRICS","10.1007/s11192-010-0240-6","Text mining was used to extract technical intelligence from the open source global SARS research literature. A SARS-focused query was applied to the Science Citation Index (SCI) (SCI 2008) database for the period 1998-early 2008. The SARS research literature infrastructure (prolific authors, key journals/institutions/countries, most cited authors/journals/documents) was obtained using bibliometrics, and the SARS research literature technical structure (hierarchical taxonomy) was obtained using computational linguistics/document clustering.","Severe acute respiratory syndrome (SARS); Coronavirus; Infectious diseases; Text mining; Bibliometrics; Citation analysis"
"C.A.M.P.O.S.. C.; R.E.D.O.N.D.O.. F.L.","BIBLIOMETRICS AND CLINICAL-CHEMISTRY","1991","CLINICAL CHEMISTRY","N/A","N/A","N/A"
"L.I.N.E.. M.B.","THE IMPORTANCE OF BIBLIOMETRICS","1987","LIBRARY JOURNAL","N/A","N/A","N/A"
"Liu X.; Huang J.; Liu C.; Liu W.Y.; Yan C.Y.; Li X.H.","Analysis of Research Hotspots in Logistics Field based on ESI Highly Cited Paper","2017","PROCEEDINGS OF THE 2017 INTERNATIONAL CONFERENCE ON EDUCATION SCIENCE AND ECONOMIC MANAGEMENT (ICESEM 2017)","N/A","In order to seek clarification of the current research hotspots in logistics field, this paper uses bibliometrics in logistics research. A visualization software Citespace was used to analyze the ESI highly cited paper in 2007-2017 year logistics field in the Web of Science database. This paper makes a deep visual bibliometrics analysis of the research hotspots from the aspects of co-citation network clustering, high-frequency keywords and classical literature, etc, providing reference for further study of logistics.","Bibliometrics; ESI highly cited paper; Logistics; Visual analysis"
"M.U.N.C.H.P.E.T.E.R.S.E.N.. E.","BIBLIOMETRICS AND FICTION","1981","LIBRI","N/A","N/A","N/A"
"Sugimoto C.R.","The Science of Science","2021","NATURE","10.1038/d41586-021-01169-7","Big data bibliometrics must take into account qualitative analyses of research as a social institution, rooted in history, economics and politics. Big data bibliometrics must take into account qualitative analyses of research as a social institution, rooted in history, economics and politics.","Research data; Research management; Funding"
"Zimmer D.","Bibliometrics: simple - understandable - comprehensible","2014","ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","N/A","N/A","N/A"
"M.C.L.A.I.N.. J.P.","BIBLIOMETRICS TOOLBOX - BROOKS,TA","1990","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J","N/A","N/A"
"S.I.M.O.N.. H.R.","BIBLIOMETRICS - POTTER,WG","1982","NACHRICHTEN FUR DOKUMENTATION","N/A","N/A","N/A"
"W.I.N.D.S.O.R.. D.A.","BIBLIOMETRICS AND DRUGS","1980","JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES","10.1021/ci60024a600","N/A","N/A"
"McCain K.W.","Dictionary of bibliometrics - Response","1997","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","N/A","N/A","N/A"
"P.R.I.T.C.H.A.R.D.. A.","STATISTICAL BIBLIOGRAPHY OR BIBLIOMETRICS","1969","JOURNAL OF DOCUMENTATION","N/A","N/A","N/A"
"Avram S.; Velter V.; Dumitrache I.","Semantic Analysis Applications in Computational Bibliometrics","2014","CONTROL ENGINEERING AND APPLIED INFORMATICS","N/A","Continuing a previous theoretical research in bibliometrics, this study aims to conclude a bibliometric endeavor, in the quest of finding an adapted impact measure for scientific papers. Its main objective is to define a technological solution capable to interpret both citations and papers' content, in an integrative approach. The solution employs natural language processors, similarity measures and graph computation algorithms, while integrating them in a software prototype. Describing the design and implementation phases, the research underlines specific solutions and optimizations for relevance computing in citation networks.","bibliometrics; citation weighting; natural language processing; text similarity"
"Camps D.","Limits of bibliometrics indicators in biomedical scientific research evaluation","2008","COLOMBIA MEDICA","N/A","The use of bibliometrics indicators to study research activity is based on which the scientific publications are essential product of this activity, and provide information about the research process, its volume, evolution, visibility and structure. So, they allow to value the scientific activity, and influences (or impact) of the work and the sources. The bibliometrics studies, altogether with other indicators, allows an objective quantification of the knowledge, and are harnessed by the present explosion of the knowledge and its compilation in bibliographical data bases.","Impact factor; Publication; Science; Knowledge; Latin America"
"Alhuay-Quispe J.; Estrada-Cuzcano A.; Bautista-Ynofuente L.","Analysis and data visualization in bibliometric studies","2022","JLIS.IT","10.36253/jlis.it-461","In recent years, academics with different professional formation other than Information Sciences have been involved in research related to metric studies using approaches and techniques based on bibliometrics; however, these professionals do not have knowledge and necessary competences for conduct metric information studies in a rigorous and methodical way. This article aims to find what are methods and tools used by bibliometrics researchers through a descriptive and textual analysis, using methods such as word co-occurrence in bibliographical data extracted from scientific articles indexing in Web of Science, research area ""Library & Information Science."" We find most frequently software and tools used in bibliometrics have four levels for data treatment: recovery, preparation, processing and analysis, visualization; and use different methods analysis: networks social, geospatial, thematic, temporal, bibliographic coupling, among others.","Bibliometrics; Computer programs; Data analysis; Data visualization; Co-word analysis"
"Richards K.; Batty M.; Edwards K.; Findlay A.; Foody G.; Frostick L.; Jones K.; Lee R.; Livingstone D.; Marsden T.; Petts J.; Philo C.; Simon D.; Smith S.; Thomas D.","The nature of publishing and assessment in Geography and Environmental Studies: evidence from the Research Assessment Exercise 2008","2009","AREA","10.1111/j.1475-4762.2009.00908.x","We present a summary of the kinds of outputs submitted to the Geography and Environmental Studies sub-panel (H-32) for the 2008 Research Assessment Exercise (RAE), and examine the relationships between the peer assessment of research quality that the RAE process has typified, and alternative modes of assessment based on bibliometrics. This comparison is effected using (in aggregate form) some of the results from the RAE, together with citation data gathered after completion of the RAE assessment, specifically for the purpose of this paper. We conclude that, if it continues to be necessary and desirable to assess, in some measure and however imprecisely, research quality, then peer assessment cannot be replaced by bibliometrics. Bibliometrics permit measurement of something that may be linked to quality but is essentially a different phenomenon - a measure of 'impact', for example.","RAE; output types; peer review; bibliometrics"
"Tao L.","Statistical Analyses on Papers, Authors and Quotations in Information Science in 2009","2011","2011 SECOND INTERNATIONAL CONFERENCE ON INFORMATION, COMMUNICATION AND EDUCATION APPLICATION (ICEA 2011)","N/A","Applying bibliometrics to count, chosing the 410 academic papers published by Information Science (1-12) in 2009 as the research target, makes a statistic analysis of its theses, authors and citation.","Information science; Theses analysis; Author analysis; Citation analysis; Bibliometrics"
"T.O.D.O.R.O.V.. R.; G.L.A.E.N.Z.E.L.. W.","COMPUTER BIBLIOMETRICS FOR JOURNAL CLASSIFICATION","1990","INFORMATION PROCESSING & MANAGEMENT","10.1016/0306-4573(90)90109-F","N/A","N/A"
"Wang X.W.; Zhang X.; Xu S.M.","Patent co-citation networks of Fortune 500 companies","2011","SCIENTOMETRICS","10.1007/s11192-011-0414-x","This paper provides an overview of the progression of technology structure based on patent co-citation networks. Methods of patent bibliometrics, social network analysis and information visualization are employed to analyze patents of Fortune 500 companies indexed in Derwent Innovations Index, the largest patent database in the world. Based on the co-citation networks, several main technology groups are identified, including Chemicals, Petroleum Refining, Motor Vehicles, Pharmaceuticals, Electronics, etc. Relationships among the leading companies and technology groups are also revealed.","Fortune 500; Patent bibliometrics; Patent co-citation; Technology structure"
"Huggett S.","Journal bibliometrics indicators and citation ethics: A discussion of current issues","2013","ATHEROSCLEROSIS","10.1016/j.atherosclerosis.2013.07.051","Science has recently been accelerating at a fast rate, resulting in what has been called ""information overload"" and more recently ""filter failure"". In this perspective, journal performance indicators can play an important role in journal evaluation. Opinions on the appropriate use of journal-level bibliometrics indicators can be divided but they have now long been used as measures in research evaluation, and many editors see it as part of their editorial duty to try and improve bibliometrics indicators and rankings for their journal. There are various techniques through which this can be attempted, some more ethical than others. Some editors may try to boost the bibliometrics performance of their journals through gratuitous citations. This is problematic because citations are meant to provide useful references, scientifically justifiable, to previously published literature. As such citations can be used as widely accepted measures of scientific impact. Therefore, superfluous citations can distort the validity of bibliometrics indicators. It might be tempting to try to improve a journal's bibliometrics rankings at all costs, but these are only as meaningful as the data that feed into them. Exceedingly inflated indicators due to unethical behaviours can damage the reputation of a journal and its editors, and can lead to a loss of quality manuscript submissions, which in turn is likely to affect the journal's future citation impact. (C) 2013 Elsevier Ireland Ltd. All rights reserved.","N/A"
"Meadows J.","A practical line in bibliometrics","2005","INTERLENDING & DOCUMENT SUPPLY","10.1108/02641050602628","Purpose - The purpose of this article is to describe Maurice Line ' s continuing interest in bibliometrics and in its possible application to library problems since the 1970s. He has especially emphasized two strands. One is the concept of obsolescence and how it applies in practice. The other is citation studies of the social sciences, which tend to have been ignored in comparison with the sciences. He has particularly explored the limitations that need to be taken into account when trying to apply bibliometric ideas in practical contexts. Design/methodology/approach - An analysis of Line ' s publications on bibliometrics led to a selection of major themes in his writings. A subsequent study of the publications of others who wrote on this topic over the same period provided a framework for assessing his work. Findings - Maurice Line played an important role in the development of this area of bibliometrics, though he slightly modified some of his early ideas as time has passed. Originality/value - Provides a background to Maurice Line ' s interest in bibliometrics since the 1970s.","obsolescence; information science"
"Scholz F.","Editorial","2020","JOURNAL OF SOLID STATE ELECTROCHEMISTRY","10.1007/s10008-020-04560-y","N/A","N/A"
"B.R.A.U.N.. T.","BIBLIOMETRICS IN RESEARCH EVALUATION","1988","JOURNAL OF INFORMATION SCIENCE","N/A","N/A","N/A"
"Heinrich E.; Henderson M.; Redmond P.","AJET bibliometrics and licensing","2019","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY","N/A","N/A","N/A"
"B.R.O.A.D.U.S.. R.N.","EARLY APPROACHES TO BIBLIOMETRICS","1987","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","10.1002/(SICI)1097-4571(198703)38:2<127::AID-ASI6>3.0.CO;2-K","N/A","N/A"
"A.I.Y.E.P.E.K.U.. W.O.","BIBLIOMETRICS IN INFORMATION-SCIENCE CURRICULA","1975","INFORMATION SCIENTIST","N/A","N/A","N/A"
"McEnery-Stonelake M.; Bernhard J.","THE BIBLIOMETRICS OF ITCH","2011","ACTA DERMATO-VENEREOLOGICA","N/A","N/A","N/A"
