AU	TI	PY	SO	DI	AB	DE
wang q.; huang r.	the impact of covid-19 pandemic on sustainable development goals-a survey	2021	environmental research	10.1016/j.envres.2021.111637	covid-19 pandemic is the biggest challenge facing humanity after the 1918 flu pandemic. the pandemic also poses a massive challenge to the achievement of sustainable development goals (sdgs). meeting this challenge requires a comprehensive investigation of the impact of the pandemic on sustainability. in this work, publica-tions related to the impact of covid-19 on sustainability in the web of science database were explored sys-tematically by using bibliometrics techniques and meta-analysis approach. the results show the research scope is extensive, covering many subjects, whereas the research depth is not enough. research in developed countries is dominant, although the pandemic poses more significant challenges to the sustainable development of devel-oping countries than of developed countries. developed countries are committed to studying education sus-tainability, while developing countries have shown greater attention to economic sustainability during the epidemic. the cluster analysis also shows that the covid-19 pandemic has brought negative effects on 17 sdgs goals, whereas the pandemic may also bring opportunities to another 14 sdgs goals. at the end of the article, we put forward relevant suggestions for achieving sustainable development goals in the post-epidemic era.	covid-19; sustainability; sdgs; bibliometrics; visualization
belter c.w.	bibliometric indicators: opportunities and limits	2015	journal of the medical library association	10.3163/1536-5050.103.4.014		bibliometrics; program evaluation; research personnel/statistics and numerical data; research/organization and administration; peer review; research
vogel r.; masal d.	public leadership a review of the literature and framework for future research	2015	public management review	10.1080/14719037.2014.895031	this study analyses and reviews the literature on public leadership with a novel combination of bibliometric methods. we detect four generic approaches to public leadership (i.e. a functionalist, a behavioural, a biographical and a reformist approach) which differ with regard to their philosophy of science (i.e. objective vs subjective) and level of analysis (i.e. micro-level vs multi-level). from our findings, we derive four directions for future research which involve shifting the focus from the aspect of leadership' to the element of public', from simplicity to complexity, from universalism to cultural relativism and from public leadership to public followership.	leadership; publicness; followership; bibliometrics; network analysis
wildgaard l.; schneider j.w.; larsen b.	a review of the characteristics of 108 author-level bibliometric indicators	2014	scientometrics	10.1007/s11192-014-1423-3	an increasing demand for bibliometric assessment of individuals has led to a growth of new bibliometric indicators as well as new variants or combinations of established ones. the aim of this review is to contribute with objective facts about the usefulness of bibliometric indicators of the effects of publication activity at the individual level. this paper reviews 108 indicators that can potentially be used to measure performance on individual author-level, and examines the complexity of their calculations in relation to what they are supposed to reflect and ease of end-user application. as such we provide a schematic overview of author-level indicators, where the indicators are broadly categorised into indicators of publication count, indicators that qualify output (on the level of the researcher and journal), indicators of the effect of output (effect as citations, citations normalized to field or the researcher's body of work), indicators that rank the individual's work and indicators of impact over time. supported by an extensive appendix we present how the indicators are computed, the complexity of the mathematical calculation and demands to data-collection, their advantages and limitations as well as references to surrounding discussion in the bibliometric community. the appendix supporting this study is available online as supplementary material.	author-level bibliometrics; research evaluation; impact factors; self-assessment; researcher performance; indicators; curriculum vitaes
li c.h.; peng c.; chiang p.c.; cai y.p.; wang x.; yang z.f.	mechanisms and applications of green infrastructure practices for stormwater control: a review	2019	journal of hydrology	10.1016/j.jhydrol.2018.10.074	green infrastructure (gi) is considered to be an innovative stormwater management approach that offers numerous other environmental benefits including reduction in air pollution and climate change mitigation compared with conventional gray infrastructures, and it has been gradually accepted and used worldwide. this review mainly focuses on the hydrological aspect of gi and provides a summary of the knowledge about gi as a stormwater management alternative. in this review, we discuss the operating mechanisms of a few widely-used gis in the aspect of stormwater management. we critically examine policies for promoting gi implementation in some countries, including the sponge city in china and water sensitive urban design (wsud) in australia, and review the effectiveness of gi on treating stormwater quantity in real world applications. in addition, we also used bibliometrics to analyze the gi research trends and found gi has been popular in an increasing number of countries and regions, which china has the greatest future growth potential in gis research. moreover, many barriers impeding the further development of gi and strategies to overcome these barriers are also summarized. this review gathers knowledge from many sources to provide an overview of gi to better understand its mechanisms and applications, and to highlight the areas that require future study.	green infrastructure (gi); innovate stormwater approach; operating mechanism; barrier and strategy; application and implementation
mishra d.; gunasekaran a.; childe s.j.; papadopoulos t.; dubey r.; wamba s.	vision, applications and future challenges of internet of things a bibliometric study of the recent literature	2016	industrial management & data systems	10.1108/imds-11-2015-0478	purpose - the emergent field of internet of things (iot) has been evolving rapidly with a geometric growth in the number of academic publications in this field. the purpose of this paper is to review the literature of iot in past 16 years using rigorous bibliometric and network analysis tools, offering at the same time future directions for the iot research community and implications for managers and decision makers. design/methodology/approach - the authors adopted the techniques of bibliometric and network analysis. the paper reviewed the articles published on iot from 2000 to 2015. findings - this study identifies top contributing authors; key research topics related to the field; the most influential works based on citations and pagerank; and established and emerging research clusters. scholars are encouraged to further explore this topic. research limitations/implications - this study focusses only on vision and applications of iot. scholars may explore various other aspects of this area of research. originality/value - to the best of authors' knowledge, this is the first study to review the literature on iot by using bibliometric and network analysis techniques. the study is unique as it spans a long time period of 16 years (2000-2015). the study proposes a five-cluster classification of research themes that may inform current and future research in iot.	vision; internet of things; bibliometrics; applications; network analytics
li z.; ho y.s.	use of citation per publication as an indicator to evaluate contingent valuation research	2008	scientometrics	10.1007/s11192-007-1838-1	this is the first article using bibliometrics to study the field of contingent valuation research. the purpose of this study was to evaluate the contingent valuation research performance based on all the related articles in sci and ssci databases from 1991 to 2005. an indicator named citation per publication (cpp) was presented in this study to assess the impact of article output per year, different countries, institutes, and authors from the worldwide. publication per institute (ppi) in a country was used to be an indicator to compare institute's research performance by country. citation analysis was made to select the most frequently cited articles since publication to 2005 of each year. a citation model was applied to describe the relationship between the cumulative number of citations and article life. the results indicate that with the increase article output per year, the cpp decreased slightly since 1997. the usa produced 55% of all pertinent articles. institutes from the uk had a higher ppi. the most prolific institutes and authors, and the most frequently cited articles per year were all listed. in addition, a citation model was successfully applied to evaluate performance of each year, and the most frequently cited articles of each year were also compared by the model.	
curran c.s.; broring s.; leker j.	anticipating converging industries using publicly available data	2010	technological forecasting and social change	10.1016/j.techfore.2009.10.002	industry convergence, described as the blurring of boundaries between industries, plays an increasingly pivotal role in shaping markets and industries. traditionally, this phenomenon has been discussed in respect to telecommunications, information technologies and electronics, but more recently also the chemical and its related industries find themselves affected by a larger convergence process. with the primary example of phytosterols in the two converging industries of cosmeceuticals and of nutraceuticals and functional foods, we analyze 7455 scientific and patent references in respect to first indicators for signs of convergence. furthermore, we present and discuss a multiple indicator concept for monitoring convergence in an r&d-intensive field on the basis of publicly available data. (c) 2009 elsevier inc. all rights reserved.	converging industries; patent analysis; nutraceuticals and functional foods; cosmeceuticals; phytosterols; chemical industry; bibliometrics
zitt m.; ramanana-rahary s.; bassecoulard e.	relativity of citation performance and excellence measures: from cross-field to cross-scale effects of field-normalisation	2005	scientometrics	10.1007/s11192-005-0218-y	as citation practices strongly depend on fields, field normalisation is recognised as necessary for fair comparison of figures in bibliometrics and evaluation studies. however fields may be defined at various levels, from small research areas to broad academic disciplines, and thus normalisation values are expected to vary. the aim of this project was to test the stability of citation ratings of articles as the level of observation - hence the basis of normalisation - changes. a conventional classification of science based on isi subject categories and their aggregates at various scales was used, namely at five levels: all science, large academic discipline, sub-discipline, speciality and journal. among various normalisation methods, we selected a simple ranking method (quantiles), based on the citation score of the article in each particular aggregate (journal, speciality, etc.) it belonged to at each level. the study was conducted on articles in the full sci range, for publication year 1998 with a four-year citation window. stability is measured in three ways: overall comparison of article rankings; individual trajectory of articles; survival of the top-cited class across levels. overall rank correlations on the observed empirical structure are benchmarked against two fictitious sets that keep the same embedded structure of articles but reassign citation scores either in a totally ordered or in a totally random distribution. these sets act respectively as a 'worst case' and 'best case' for the stability of citation ratings. the results show that: (a) the average citation rankings of articles substantially change with the level of observation (b) observation at the journal level is very particular, and the results differ greatly in all test circumstances from all the other levels of observation (c) the lack of cross-scale stability is confirmed when looking at the distribution of individual trajectories of articles across the levels; (d) when considering the top-cited fractions, a standard measure of excellence, it is found that the contents of the 'top-cited' set is completely dependent on the level of observation. the instability of impact measures should not be interpreted in terms of lack of robustness but rather as the co-existence of various perspectives each having their own form of legitimacy. a follow-up study will focus on the micro levels of observation and will be based on a structure built around bibliometric groupings rather than conventional groupings based on isi subject categories.	
nakagawa s.; samarasinghe g.; haddaway n.r.; westgate m.j.; o'dea r.e.; noble d.w.a.; lagisz m.	research weaving: visualizing the future of research synthesis	2019	trends in ecology & evolution	10.1016/j.tree.2018.11.007	we propose a new framework for research synthesis of both evidence and influence, named research weaving. it summarizes and visualizes information content, history, and networks among a collection of documents on any given topic. research weaving achieves this feat by combining the power of two methods: systematic mapping and bibliometrics. systematic mapping provides a snapshot of the current state of knowledge, identifying areas needing more research attention and those ready for full synthesis. bibliometrics enables researchers to see how pieces of evidence are connected, revealing the structure and development of a field. we explain how researchers can use some or all of these tools to gain a deeper, more nuanced understanding of the scientific literature.	
cozzens s.; gatchair s.; kang j.; kim k.s.; lee h.j.; ordonez g.; porter a.	emerging technologies: quantitative identification and measurement	2010	technology analysis & strategic management	10.1080/09537321003647396	emerging technologies present both challenges and opportunities for national technology strategies. national governments may therefore want to monitor the technological horizon on a systematic basis. this article outlines the quantitative approaches available for such monitoring. among the standard types of bibliometric data, proposals and publications are most likely to be useful for this purpose since they capture information earlier in the cycle of technology development. patents, in contrast, trail behind. analysis can proceed with keywords or citations, and algorithms are available to use the information structure inherent in these kinds of data to identify and measure emerging areas. there are limitations, however, in all the available approaches and the authors therefore recommend using them in conjunction with expert methods by focusing the qualitative assessment in particular areas.	emerging technologies; quantitative analysis; bibliometrics
luc j.g.y.; archer m.a.; arora r.c.; bender e.m.; blitz a.; cooke d.t.; hlci t.n.; kidane b.; ouzounian m.; varghese t.k.; antonoff m.b.	does tweeting improve citations? one-year results from the tssmn prospective randomized trial	2021	annals of thoracic surgery	10.1016/j.athoracsur.2020.04.065	background. the thoracic surgery social media network (tssmn) is a collaborative effort of leading journals in cardiothoracic surgery to highlight publications via social media. this study aims to evaluate the 1-year results of a prospective randomized social media trial to determine the effect of tweeting on subsequent citations and nontraditional bibliometrics. methods. a total of 112 representative original articles were randomized 1:1 to be tweeted via tssmn or a control (non-tweeted) group. measured endpoints included citations at 1 year compared with baseline, as well as article-level metrics (altmetric score) and twitter analytics. independent predictors of citations were identified through univariable and multivariable regression analyses. results. when compared with control articles, tweeted articles achieved significantly greater increase in altmetric scores (tweeted 9.4 +/- 5.8 vs non-tweeted 1.0 +/- 1.8, p<.001), altmetric score percentiles relative to articles of similar age from each respective journal (tweeted 76.0 +/- 9.1 percentile vsnon-tweeted 13.8 +/- 22.7 percentile, p<.001), with greater change in citations at 1 year (tweeted d3.1 +/- 2.4 vs nontweeted d0.7 +/- 1.3, p<.001). multivariable analysis showed that independent predictors of citations were randomization to tweeting (odds ratio [or] 9.50; 95% confidence interval [ci] 3.30-27.35, p<.001), altmetric score (or 1.32; 95% ci 1.15-1.50, p<.001), open-access status (or 1.56; 95% ci 1.21-1.78, p<.001), and exposure to a larger number of twitter followers as quantified by impressions (or 1.30, 95% ci 1.10-1.49, p<.001). conclusions. one-year follow-up of this tssmn prospective randomized trial importantly demonstrates that tweeting results in significantly more article citations over time, highlighting the durable scholarly impact of social media activity. (c) 2021 by the society of thoracic surgeons	
wang h.j.; he q.q.; liu x.j.; zhuang y.h.; hong s.	global urbanization research from 1991 to 2009: a systematic research review	2012	landscape and urban planning	10.1016/j.landurbplan.2011.11.006	we performed a bibliometric analysis of published urbanization research from 1991 to 2009, based on sci and ssci database. our analysis reveals scientific outputs, subject categories and major journals, international collaboration and geographic distribution, and temporal trends in keywords usage in urbanization studies and discusses the relationships between urbanization papers and urbanization rate and offer a substitute demonstration of research advancements, which may be considered as a potential guide for future research. the growth of article outputs has exploded since 1991, along with an increasing collaboration index, references and citations. environmental sciences, ecology, environmental studies, geography and urban studies were most frequently used subject categories and landscape and urban planning was the most productive journal in urbanization studies. the united states was the largest contributor in global urbanization research, as the usa produced the most independent and collaborative papers. the geographic distribution of urbanization articles overlapped quite well with regions with high economic growth in north america, europe, and pacific-asia. a keywords analysis found the usa and china were hotspots, confirmed land-use's significant position and revealed keen interest in ecological and environmental issues in urbanization studies. in general, urbanization research was strongly correlated with the urbanization rate although there were different patterns and underlying processes across different countries. this is the first study to quantify global research trends in urbanization. our study reveals patterns in scientific outputs and academic collaborations and serves as an alternative way of revealing global research trends in urbanization. (c) 2011 elsevier b.v. all rights reserved.	bibliometrics; urbanization; urbanization rate; research trends; correlation analysis
d'angelo c.a.; giuffrida c.; abramo g.	a heuristic approach to author name disambiguation in bibliometrics databases for large-scale research assessments	2011	journal of the american society for information science and technology	10.1002/asi.21460	national exercises for the evaluation of research activity by universities are becoming regular practice in ever more countries. these exercises have mainly been conducted through the application of peer-review methods. bibliometrics has not been able to offer a valid large-scale alternative because of almost overwhelming difficulties in identifying the true author of each publication. we will address this problem by presenting a heuristic approach to author name disambiguation in bibliometric datasets for large-scale research assessments. the application proposed concerns the italian university system, comprising 80 universities and a research staff of over 60,000 scientists. the key advantage of the proposed approach is the ease of implementation. the algorithms are of practical application and have considerably better scalability and expandability properties than state-of-the-art unsupervised approaches. moreover, the performance in terms of precision and recall, which can be further improved, seems thoroughly adequate for the typical needs of large-scale bibliometric research assessments.	
noyons e.c.m.; moed h.f.; van raan a.f.j.	integrating research performance analysis and science mapping	1999	scientometrics	10.1007/bf02459614	in this paper we present the explorations of combining the two main pillars of evaluative bibliometrics. these two pillars, performance analysis and science mapping, both have their strengths and imperfections. in this study we show how these imperfections are dealt with by an integrated analysis.	
bornmann l.; leydesdorff l.; mutz r.	the use of percentiles and percentile rank classes in the analysis of bibliometric data: opportunities and limits	2013	journal of informetrics	10.1016/j.joi.2012.10.001	percentiles have been established in bibliometrics as an important alternative to mean-based indicators for obtaining a normalized citation impact of publications. percentiles have a number of advantages over standard bibliometric indicators used frequently: for example, their calculation is not based on the arithmetic mean which should not be used for skewed bibliometric data. this study describes the opportunities and limits and the advantages and disadvantages of using percentiles in bibliometrics. we also address problems in the calculation of percentiles and percentile rank classes for which there is not (yet) a satisfactory solution. it will be hard to compare the results of different percentile-based studies with each other unless it is clear that the studies were done with the same choices for percentile calculation and rank assignment. (c) 2012 elsevier ltd. all rights reserved.	percentile; percentile rank class; citation impact; reference set; normalized citation impact
nielsen f.a.; balslev d.; hansen l.k.	mining the posterior cingulate:: segregation between memory and pain components	2005	neuroimage	10.1016/j.neuroimage.2005.04.034	we present a general method for automatic meta-analyses in neuroscience and apply it on text data from published functional imaging studies to extract main functions associated with a brain area-the posterior cingulate cortex (pcc). abstracts from pubmed are down-loaded, words extracted and converted to a bag-of-words matrix representation. the combined data are analyzed with hierarchical non-negative matrix factorization. we find that the prominent themes in the pcc corpus are episodic memory retrieval and pain. we further characterize the distribution in pcc of the talairach coordinates available in some of the articles. this shows a tendency to functional segregation between memory and pain components where memory activations are predominantly in the caudal part and pain in the rostral part of pcc. (c) 2005 elsevier inc. all rights reserved.	meta-analysis; pubmed; positron emission tomography; magnetic resonance imaging; cingulate gyrus; brain mapping; memory; pain; alzheimer's disease; automatic data processing; bibliometrics
abramo g.; d'angelo c.a.	evaluating research: from informed peer review to bibliometrics	2011	scientometrics	10.1007/s11192-011-0352-7	national research assessment exercises are becoming regular events in ever more countries. the present work contrasts the peer-review and bibliometrics approaches in the conduct of these exercises. the comparison is conducted in terms of the essential parameters of any measurement system: accuracy, robustness, validity, functionality, time and costs. empirical evidence shows that for the natural and formal sciences, the bibliometric methodology is by far preferable to peer-review. setting up national databases of publications by individual authors, derived from web of science or scopus databases, would allow much better, cheaper and more frequent national research assessments.	decision support systems; research assessment; peer review; bibliometrics; research productivity
hicks d.; breitzman t.; olivastro d.; hamilton k.	the changing composition of innovative activity in the us - a portrait based on patent analysis	2001	research policy	10.1016/s0048-7333(00)00147-5	in this paper, patent bibliometrics are used to investigate shifts underway in the american innovation system. patent indicators point to extraordinarily dynamic innovation in information and health technologies accompanied by a shift in the center of us innovation from the east to the west coast. innovating companies are adapting to the demise of large corporate basic research laboratories by using their own research instead. growth in university patenting is also striking, and universities have become dominant patentees in a few large, economically vibrant cities. the importance of universities to local innovation has also been revealed by the growth in referencing from patents to papers which allows us to see that companies preferentially reference papers from in-state public sector institutions. (c) 2001 elsevier science b.v. all rights reserved.	innovation; united states; patent; university; local
aparicio g.; iturralde t.; maseda a.	conceptual structure and perspectives on entrepreneurship education research: a bibliometric review	2019	european research on management and business economics	10.1016/j.iedeen.2019.04.003	this study aims to review the field of entrepreneurship education (ee). the review examines 325 scientific articles published in refereed scientific journals from 1987 to 2017. the scimat software was used to conduct an analysis of performance indicators and science mapping visualizations. the performance analysis results identified some of the field's most active and influential articles, journals, and authors. the science mapping visualization of co-word analysis results revealed ee research evolution. in general, we found that ee research has evolved from ee as part of an economic development strategy to the ee academic perspective. furthermore, research themes showed that students, rather than teachers, have become the main agents of the educational process. the results of this bibliometric analysis enhance understanding of the evolution of ee research with a global overview of the relevant literature and its authors. (c) 2019 aedem. published by elsevier espana, s.l.u.	entrepreneurship education; entrepreneurial intention; entrepreneurial learning; bibliometrics; scimat
n.a.r.i.n.. f.; o.l.i.v.a.s.t.r.o.. d.; s.t.e.v.e.n.s.. k.a.	bibliometrics theory, practice and problems	1994	evaluation review	10.1177/0193841x9401800107	this article presents the theory behind modern evaluative bibliometric techniques at three levels policy applications which characterizes the scientific and technological output of nations or regions; strategic analyses, which deals with articles and patents at the level of a university or company; and tactical analyses, which addresses questions concerning a single subject. the article explains the newer techniques that have been developed at each level, as well as the more important limitations.	
milojevic s.; sugimoto c.r.; yan e.j.; ding y.	the cognitive structure of library and information science: analysis of article title words	2011	journal of the american society for information science and technology	10.1002/asi.21602	this study comprises a suite of analyses of words in article titles in order to reveal the cognitive structure of library and information science (lis). the use of title words to elucidate the cognitive structure of lis has been relatively neglected. the present study addresses this gap by performing (a) co-word analysis and hierarchical clustering, (b) multidimensional scaling, and (c) determination of trends in usage of terms. the study is based on 10,344 articles published between 1988 and 2007 in 16 lis journals. methodologically, novel aspects of this study are: (a) its large scale, (b) removal of non-specific title words based on the word concentration measure (c) identification of the most frequent terms that include both single words and phrases, and (d) presentation of the relative frequencies of terms using heatmaps. conceptually, our analysis reveals that lis consists of three main branches: the traditionally recognized library-related and information-related branches, plus an equally distinct bibliometrics/scientometrics branch. the three branches focus on: libraries, information, and science, respectively. in addition, our study identifies substructures within each branch. we also tentatively identify information seeking behavior as a branch that is establishing itself separate from the three main branches. furthermore, we find that cognitive concepts in lis evolve continuously, with no stasis since 1992. the most rapid development occurred between 1998 and 2001, influenced by the increased focus on the internet. the change in the cognitive landscape is found to be driven by the emergence of new information technologies, and the retirement of old ones.	
zucker l.g.; darby m.r.; furner j.; liu r.c.; ma h.y.	minerva unbound: knowledge stocks, knowledge flows and new knowledge production	2007	research policy	10.1016/j.respol.2007.02.007	regional growth of new knowledge in nanotechnology, as measured by counts of articles and patents in the open-access digital library nanobank, is shown to be positively affected both by the size of existing regional stocks of recorded knowledge in all scientific fields, and the extent to which tacit knowledge in all fields flows between institutions of different organizational types. the level of federal funding has a large, robust impact on both publication and patenting. the data provide support for the cumulative advantage model of knowledge production, and for ongoing efforts to institutionalize channels through which cross-organizational collaboration may be achieved. (c) 2007 published by elsevier b.v.	bibliometrics; boundary spanning; collaboration; nanotechnology; organization type
liu z.x.; xu j.y.; liu m.z.; yin z.t.; liu x.; yin l.r.; zheng w.f.	remote sensing and geostatistics in urban water-resource monitoring: a review	2023	marine and freshwater research	10.1071/mf22167	context at present, many cities are facing severe water-resources problems caused by urbanisation. with the development of remote sensing and geostatistics, they have been widely used in urban water-resource monitoring.aims to review and summarise the application of remote sensing and geostatistics in monitoring urban water resources and prospect for their furtherdevelopment.methods first, bibliometrics was used to analyse the existing literature in this field. we then discuss the use of remote sensing and geostatistics to improve urban water-resources monitoring capacity, focusing on the classification of technologies and equipment and their applications in urban surface-water and urban groundwater monitoring. finally, a look at the future research direction is taken.conclusions in the past decade, the relevant research has shown an upward trend. the use of remote sensing and geostatistics can improve the city's water-resource monitoring capacity, thereby promoting better use of water resources in cities.implications in the future, with the development and addition of deep learning, remote-sensing and geographic-analysis systems can be used to conduct remote-sensing monitoring and data analysis on urban water resources more accurately, intelligently, and quickly, and improve the status of urban water resources.	catchment management; conservation; ecohydrology; environmental monitoring; geostatistics; gi; monitoring; remote sensing; urban water resource
pendlebury d.a.	the use and misuse of journal metrics and other citation indicators	2009	archivum immunologiae et therapiae experimentalis	10.1007/s00005-009-0008-y	this article reviews the nature and use of the journal impact factor and other common bibliometric measures for assessing research in the sciences and social sciences based on data compiled by thomson reuters. journal impact factors are frequently misused to assess the influence of individual papers and authors, but such uses were never intended. thomson reuters also employs other measures of journal influence, which are contrasted with the impact factor. finally, the author comments on the proper use of citation data in general, often as a supplement to peer review. this review may help government policymakers, university administrators, and individual researchers become better acquainted with the potential benefits and limitations of bibliometrics in the evaluation of research.	impact factor; bibliometric indicators; peer review; citation analysis
hammarfelt b.	using altmetrics for assessing research impact in the humanities	2014	scientometrics	10.1007/s11192-014-1261-3	the prospects of altmetrics are especially encouraging for research fields in the humanities that currently are difficult to study using established bibliometric methods. yet, little is known about the altmetric impact of research fields in the humanities. consequently, this paper analyses the altmetric coverage and impact of humanities-oriented articles and books published by swedish universities during 2012. some of the most common altmetric sources are examined using a sample of 310 journal articles and 54 books. mendeley has the highest coverage of journal articles (61%) followed by twitter (21%) while very few of the publications are mentioned in blogs or on facebook. books, on the other hand, are quite often tweeted while both mendeley's and the novel data source library thing's coverage is low. many of the problems of applying bibliometrics to the humanities are also relevant for altmetric approaches; the importance of non-journal publications, the reliance on print as well the limited coverage of non-english language publications. however, the continuing development and diversification of methods suggests that altmetrics could evolve into a valuable tool for assessing research in the humanities.	altmetrics; bibliometrics; humanities; mendeley; twitter; library thing
abramo g.; d'angelo c.a.; di costa f.; solazzi m.	university-industry collaboration in italy: a bibliometric examination	2009	technovation	10.1016/j.technovation.2008.11.003	this work investigates public-private research collaboration between italian universities and domestic industry, applying a bibliometric type of approach. the study is based on an exhaustive listing of all co-authored publications in international journals that are jointly realized by italian university scientists and researchers in the private sector; this listing permits the development of a national mapping system for public-private collaboration that is unique for its extensive and representative character. it is shown that, in absolute terms, most collaborations occur in medicine and chemistry, while it is industrial and information engineering that shows the highest percentage of co-authored articles out of all articles in the field. in addition, the investigation empirically examines and tests several hypotheses concerning the qualitative-quantitative impact of collaboration on the scientific production of individual university researchers. the analyses demonstrate that university researchers who collaborate with those in the private sector show research performance that is superior to that of colleagues who are not involved in such collaboration. but the impact factor of journals publishing academic articles co-authored by industry is generally lower than that concerning co-authorships with other entities. finally, a further specific elaboration also reveals that publications with public-private co-authorship do not show a level of multidisciplinarity that is significantly different from that of other publications. (c) 2008 elsevier ltd. all rights reserved.	university-industry collaboration; r&d cooperation; bibliometrics; multidisciplinarity; italy
bao g.j.; fang h.; chen l.f.; wan y.h.; xu f.; yang q.h.; zhang l.b.	soft robotics: academic insights and perspectives through bibliometric analysis	2018	soft robotics	10.1089/soro.2017.0135	soft robotics is of growing interest in the robot community as well as in public media, and there is an increase in the quality and quantity of publications related to this topic. to formally elaborate this growth, we have used a bibliometric analysis to evaluate the publications in the field from 1990 to 2017 based on the science citation index expanded database. we present a detailed overview and discussion based on keywords, citation, h-index, year, journal, institution, country, author, and review articles. the results show that the united states takes the leading position in this research field, followed by china and italy. harvard university has the most publications, high average number of citations per publication and the highest h-index. ieee transactions on robotics ranks first among the top 20 academic journals publishing articles related to this field, whereas soft robotics holds the top position in journals categorized with robotics. actuator, fabrication, control, material, sensing, simulation, bionics, stiffness, modeling, power, motion, and application are the hot topics of soft robotics. smart materials, bionics, morphological computation, and embodiment control are expected to contribute to this field in the future. application and commercialization appear to be the initial driving force and final goal for soft robots.	soft robotics; artificial muscle; bioinspired robot; smart material; multidisciplinary; bibliometrics
brandt j.s.; downing a.c.; howard d.l.; kofinas j.d.; chasen s.t.	citation classics in obstetrics and gynecology: the 100 most frequently cited journal articles in the last 50 years	2010	american journal of obstetrics and gynecology	10.1016/j.ajog.2010.07.025	objective: our objective was to characterize the most frequently cited articles published in obstetrics and gynecology journals during the last 50 years. study design: we utilized the 2008 edition of journal citation reports and social sciences citation index database to determine the most frequently cited articles published after 1956. articles were evaluated for several characteristics, and an unadjusted categorical analysis was performed to compare pre- and post-1980 articles. results: the 100 most frequently cited articles were published in 11 journals between 1957 and 2004. most articles were published by us-based authors. forty-four articles were related to obstetrics and 56 were related to gynecology. the most common study design was observational. there were only 7 randomized controlled trials, and randomized controlled trials were not more common after 1980 (6.3% vs 8.1%; p = .71). conclusion: most citation classics in obstetrics and gynecology are observational studies published in high-impact journals by us-based authors after 1980.	bibliometrics; citation analysis; citation classics; gynecology; landmark articles; obstetrics
abramo g.; d'angelo c.a.	national-scale research performance assessment at the individual level	2011	scientometrics	10.1007/s11192-010-0297-2	there is an evident and rapid trend towards the adoption of evaluation exercises for national research systems for purposes, among others, of improving allocative efficiency in public funding of individual institutions. however the desired macroeconomic aims could be compromised if internal redistribution of government resources within each research institution does not follow a consistent logic: the intended effects of national evaluation systems can result only if a funds for quality rule is followed at all levels of decision-making. the objective of this study is to propose a bibliometric methodology for: (i) large-scale comparative evaluation of research performance by individual scientists, research groups and departments within research institution, to inform selective funding allocations; and (ii) assessment of strengths and weaknesses by field of research, to inform strategic planning and control. the proposed methodology has been applied to the hard science disciplines of the italian university research system for the period 2004-2006.	research assessment exercises; research funding; university; bibliometrics; italy
gutierrez-salcedo m.; martinez m.a.; moral-munoz j.a.; herrera-viedma e.; cobo m.j.	some bibliometric procedures for analyzing and evaluating research fields	2018	applied intelligence	10.1007/s10489-017-1105-y	nowadays, measuring the quality and quantity of the scientific production is an important necessity since almost every research assessment decision depends, to a great extent, upon the scientific merits of the involved researchers. to do that, many different indicators have been proposed in the literature. two main bibliometric procedures to explore a research field have been defined: performance analysis and science mapping. on the one hand, performance analysis aims at evaluating groups of scientific actors (countries, universities, departments, researchers) and the impact of their activity on the basis of bibliographic data. on the other hand, the extraction of knowledge from the intellectual, social or conceptual structure of a research field could be done by means of science mapping analysis based on bibliographic networks. in this paper, we introduce some of the most important techniques and software tools to analyze the impact of a research field and its scientific structures. particularly, four bibliometric indices (h, g, hg and q(2)), the h-classics approach to identify the classic papers of a research field and three free science mapping software tools (citnetexplorer, scimat and vosviewer) are shown.	bibliometrics; h-index; science mapping; citations
sweileh w.m.	global research trends of world health organization's top eight emerging pathogens	2017	globalization and health	10.1186/s12992-017-0233-9	background: on december 8th, 2015, world health organization published a priority list of eight pathogens expected to cause severe outbreaks in the near future. to better understand global research trends and characteristics of publications on these emerging pathogens, we carried out this bibliometric study hoping to contribute to global awareness and preparedness toward this topic. method: scopus database was searched for the following pathogens/ infectious diseases: ebola, marburg, lassa, rift valley, crimean-congo, nipah, middle eastern respiratory syndrome (mers), and severe respiratory acute syndrome (sars). retrieved articles were analyzed to obtain standard bibliometric indicators. results: a total of 8619 journal articles were retrieved. authors from 154 different countries contributed to publishing these articles. two peaks of publications, an early one for sars and a late one for ebola, were observed. retrieved articles received a total of 221,606 citations with a mean +/- standard deviation of 25.7 +/- 65.4 citations per article and an h-index of 173. international collaboration was as high as 86.9%. the centers for disease control and prevention had the highest share (344; 5.0%) followed by the university of hong kong with 305 (4.5%). the top leading journal was journal of virology with 572 (6.6%) articles while feldmann, heinz r. was the most productive researcher with 197 (2.3%) articles. china ranked first on sars, turkey ranked first on crimean-congo fever, while the united states of america ranked first on the remaining six diseases. of retrieved articles, 472 (5.5%) were on vaccine -related research with ebola vaccine being most studied. conclusion: number of publications on studied pathogens showed sudden dramatic rise in the past two decades representing severe global outbreaks. contribution of a large number of different countries and the relatively high h-index are indicative of how international collaboration can create common health agenda among distant different countries.	bibliometrics; outbreaks; virus; who; vosviewer; acrgis 10.1
